MQ2,MQ6,MQ7,MQ9,target
0.82,0.09,0.0,0.89,0
1.67,4.63,0.03,3.85,0
0.03,1.39,0.012655406,3.56,0
1.32,3.88,0.08,5.3,0
0.57,0.09,0.0,0.89,0
0.6,0.09,0.0,0.89,0
0.53,2.72,0.01,3.99,0
1.2,2.27,0.01,3.69,0
2.92,3.55,0.02,1.51,0
1.48,2.27,0.01,3.99,0
0.66,0.09,0.0,0.89,0
2.07,4.62,0.06,3.99,0
0.07,0.0,0.01,1.01,0
1.44,3.88,0.03,3.99,0
0.11,0.5,0.01,3.01,0
0.66,0.09,0.0,0.89,0
2.11,2.63,0.0,0.89,0
1.65,3.66,0.01,0.95,0
1.28,6.44,0.21,4.31,0
1.32,3.88,0.12,5.64,0
1.52,3.88,0.03,3.99,0
0.17,0.67,0.0,3.01,0
1.32,4.63,0.01,4.74,0
0.75,0.09,0.0,0.89,0
1.36,4.13,0.1,4.31,0
0.09,1.39,0.0406,3.28,0
1.85,4.19,0.01,4.14,0
4.63,2.97,0.15,0.46,0
1.35,2.93,0.01,3.28,0
7.31,1.0,0.0,2.65,0
2.23,4.36,0.05,5.88,0
0.41,2.33,0.0,3.28,0
7.24,0.33,0.02,3.88,0
3.82,2.88,0.961016154,0.95,0
0.8,2.14,0.0,3.28,0
2.97,0.76,0.01,1.19,0
0.45,2.14,0.0,3.28,0
1.02,3.17,0.01,3.99,0
1.28,5.64,0.68,4.31,0
1.24,4.13,0.06,3.99,0
1.99,2.27,0.0,0.89,0
5.06,3.26,0.601208807,0.71,0
1.48,1.52,0.01,0.95,0
1.4,3.64,0.01,3.99,0
0.41,1.76,0.063148945,3.56,0
2.37,0.58,0.01,1.19,0
1.41,0.14,0.0,0.89,0
0.37,2.33,0.0,3.28,0
1.19,1.45,0.0,0.89,0
4.3,0.64,0.0,1.51,0
4.27,3.35,23.1,0.46,0
1.1,3.13,0.01,3.56,0
3.68,1.52,0.03,1.51,0
1.49,5.78,0.01,4.74,0
1.28,3.88,8.45e-06,4.31,0
1.51,1.8,0.01,0.95,0
0.66,0.85,0.02,6.01,0
1.56,4.87,0.09,3.99,0
1.23,5.66,0.01,0.89,0
1.62,1.59,0.01,0.95,0
1.26,5.08,0.01,4.74,0
2.7,1.73,0.05,0.46,0
1.28,0.24,0.01,0.71,0
1.55,0.14,0.0,1.19,0
1.09,5.64,0.01,4.96,0
0.77,2.73,0.01,3.28,0
1.28,4.13,0.12,5.3,0
2.5,0.58,0.01,1.19,0
3.06,0.82,0.02,1.19,0
1.52,0.14,0.0,1.19,0
3.04,0.43,0.01,0.46,0
1.64,3.64,0.09,3.99,0
0.5,2.93,0.01,3.28,0
4.77,2.11,0.11,1.21,0
2.64,0.47,0.05,0.95,0
4.09,2.05,0.16,4.31,0
0.09,0.0,0.01,1.01,0
1.55,0.14,0.0,0.89,0
1.76,6.27,0.01,4.74,0
1.91,0.24,0.01,0.89,0
1.4,2.27,0.01,3.69,0
1.2,3.64,0.01,3.99,0
3.11,1.76,0.02,1.51,0
1.67,0.08,0.02,0.71,0
0.21,1.39,0.07,3.56,0
7.75,0.0,0.02,4.17,0
3.58,0.47,0.1,0.95,0
0.17,1.39,0.043265758,3.56,0
1.98,4.62,0.01,4.96,0
2.73,0.7,0.01,1.19,0
6.71,2.61,0.0,2.15,0
2.58,1.66,0.04,0.46,0
2.07,5.38,0.01,4.96,0
1.52,4.62,0.28,3.99,0
1.6,4.13,0.12,5.3,0
0.98,5.12,0.044226461,4.63,0
1.58,2.11,0.01,0.95,0
4.13,0.58,0.0,1.51,0
1.52,3.34,0.02,3.56,0
1.29,4.86,0.01,5.04,0
0.15,0.85,0.0,3.01,0
3.9,2.88,0.15,1.21,0
1.56,2.28,0.05,0.75,0
3.02,0.76,0.01,1.19,0
1.21,4.86,0.01,4.74,0
2.25,2.88,0.01,0.95,0
2.7,1.52,0.03,0.46,0
2.64,3.77,0.02,1.21,0
6.13,1.3,0.0,1.83,0
0.54,2.73,0.01,3.28,0
0.87,2.93,0.01,3.28,0
1.24,3.88,0.07,3.99,0
4.36,1.25,0.01,0.46,0
1.13,6.71,0.000824719,4.31,0
4.07,0.58,0.0,1.51,0
0.03,0.85,0.0,3.01,0
3.06,5.25,0.04,2.84,0
0.71,1.09,0.02,7.53,0
1.4,2.14,0.09,3.85,0
0.23,2.14,0.0,3.28,0
0.98,5.64,0.016599756,4.31,0
1.6,3.77,0.01,0.95,0
1.09,6.17,0.001997687,4.31,0
1.32,4.19,0.03,3.56,0
4.97,1.95,0.11,1.21,0
6.3,2.78,0.0,2.15,0
1.2,4.87,0.17,5.3,0
1.29,2.14,6.11e-06,4.14,0
4.68,1.95,0.02,0.46,0
3.36,2.44,0.14,1.21,0
2.55,1.66,0.04,0.46,0
0.36,0.41,0.01,0.0,0
2.4,4.19,0.02,4.14,0
0.48,1.02,0.01,3.28,0
1.52,4.62,0.09,3.99,0
3.74,0.52,0.0,1.51,0
1.95,0.24,0.0,0.89,0
0.69,0.09,0.0,0.89,0
1.24,3.88,0.08,3.99,0
2.07,0.24,0.0,1.19,0
1.4,4.86,0.01,4.74,0
1.71,0.19,0.01,0.89,0
0.77,1.76,0.0,3.28,0
1.64,3.64,0.06,4.31,0
1.54,3.11,0.15,5.88,0
2.25,4.87,0.04,3.99,0
2.61,1.66,0.04,0.46,0
0.07,1.39,0.0815,3.28,0
0.25,0.85,0.0,3.01,0
2.58,1.38,0.03,0.46,0
1.25,2.81,0.19,5.88,0
2.87,3.23,0.02,1.51,0
2.24,0.24,0.0,1.19,0
0.82,1.95,0.0,3.28,0
4.54,3.45,0.411060513,0.71,0
2.59,0.3,0.0,1.19,0
1.52,4.62,0.1,3.99,0
0.77,2.73,0.01,3.28,0
1.36,3.64,0.01,3.99,0
2.64,0.64,0.01,1.19,0
0.8,2.14,0.0,3.28,0
1.72,1.95,0.02,0.95,0
1.15,1.6,0.0,0.58,0
0.82,1.02,0.01,3.28,0
3.74,0.58,0.0,1.51,0
0.85,0.09,0.0,0.89,0
1.2,5.9,5.47e-05,4.31,0
3.37,0.46,0.0,1.51,0
2.34,4.62,0.07,4.96,0
0.59,2.53,0.01,3.28,0
1.55,1.66,0.01,0.95,0
3.25,0.47,0.1,0.95,0
2.53,5.38,0.06,3.99,0
1.16,6.44,0.01,4.96,0
0.73,1.02,0.01,3.28,0
0.54,0.09,0.0,0.89,0
0.53,2.94,0.0,3.69,0
1.43,3.13,0.01,3.28,0
7.4,0.71,0.0,2.39,0
2.4,0.43,0.01,0.95,0
4.63,1.73,0.09,0.95,0
6.74,4.19,0.06,0.02,0
1.55,5.78,0.01,4.74,0
3.21,2.63,0.04,1.51,0
1.26,5.31,0.01,4.74,0
1.24,3.41,0.01,3.99,0
0.98,5.64,0.01,4.96,0
0.31,2.53,0.0,3.28,0
2.03,2.7,0.02,1.21,0
1.64,5.12,0.12,5.3,0
4.19,2.61,0.02,0.46,0
3.84,3.02,0.0,1.83,0
1.2,5.9,0.01,4.96,0
0.43,1.76,0.055639326,3.56,0
1.62,2.35,0.01,0.95,0
5.47,3.06,0.1,0.95,0
0.43,2.53,0.0,3.28,0
1.32,5.9,0.01,4.96,0
0.6,0.09,0.0,0.89,0
1.72,5.12,0.05,4.96,0
2.61,7.75,0.03,0.95,0
4.37,3.71,0.02,1.82,0
1.24,0.24,0.01,0.46,0
1.05,2.73,0.01,3.28,0
0.05,0.67,0.01,3.01,0
0.66,2.73,0.01,3.28,0
0.31,1.02,0.0,3.28,0
1.28,5.9,0.31,4.31,0
0.63,2.49,0.01,3.99,0
0.91,5.64,0.02,4.96,0
0.69,0.91,0.02,6.38,0
0.15,0.85,0.0,3.01,0
3.43,3.35,0.854927606,0.95,0
0.63,0.09,0.0,0.89,0
1.43,4.41,0.03,3.56,0
2.4,0.38,0.04,0.95,0
2.8,3.45,0.12,1.21,0
0.59,2.94,0.01,3.99,0
0.84,3.88,1.0,4.31,0
3.02,1.92,0.02,1.51,0
1.93,4.13,0.1,3.99,0
2.2,5.12,0.06,3.99,0
1.52,4.62,0.02,4.96,0
0.77,2.14,0.0,3.28,0
1.4,4.37,0.09,4.96,0
1.1,2.33,0.01,3.56,0
2.2,0.52,0.01,1.19,0
0.85,2.33,0.01,3.56,0
1.23,4.63,0.01,4.74,0
0.21,2.14,0.0,3.28,0
2.43,3.45,0.02,0.95,0
1.35,4.86,0.01,4.74,0
0.7,2.73,0.01,3.56,0
1.24,5.9,0.27,4.31,0
3.62,1.41,0.11,4.31,0
4.84,0.95,0.0,1.51,0
1.26,2.73,0.01,3.28,0
1.52,3.88,0.08,4.31,0
1.81,4.62,0.09,3.99,0
4.37,3.82,0.03,1.82,0
1.58,3.13,0.02,3.56,0
